from	to	nominations
1	2	1
1	3	2
1	5	2
1	8	1
1	12	1
1	14	2
2	1	3
2	7	3
2	12	2
2	14	1
2	15	1
3	1	3
3	2	1
3	13	1
3	17	3
3	18	2
4	5	3
4	6	3
4	10	1
4	11	2
5	1	1
5	4	3
5	9	1
5	11	3
5	13	1
6	1	2
6	4	3
6	5	1
6	9	3
7	1	1
7	2	3
7	8	1
7	12	1
7	16	3
8	1	1
8	2	1
8	4	2
8	6	2
8	9	2
8	10	1
9	5	3
9	8	3
9	12	2
9	16	1
10	4	3
10	5	2
10	8	1
10	9	1
10	13	2
10	14	1
11	4	1
11	5	3
11	8	2
11	14	2
11	16	1
12	1	3
12	2	3
12	7	1
12	14	2
13	5	3
13	7	3
13	18	3
14	1	3
14	2	1
14	11	1
14	12	3
14	15	3
15	1	2
15	2	3
15	5	1
15	7	1
15	12	1
15	14	2
16	1	1
16	2	3
16	7	3
16	12	1
16	15	1
17	2	2
17	3	3
17	13	1
17	18	3
18	1	1
18	2	3
18	3	1
18	7	1
18	13	1
18	17	2
