number	source	recipient
1	16	32
2	32	16
3	16	32
4	16	32
5	11	32
6	11	32
7	11	32
8	36	32
9	8	32
10	8	32
11	32	8
12	16	32
13	8	32
14	26	32
15	32	26
16	26	32
17	32	26
18	26	32
19	32	26
20	16	32
21	16	32
22	27	32
23	20	32
24	32	20
25	20	32
26	32	20
27	32	16
28	16	32
29	32	16
30	32	16
31	16	32
32	32	22
33	3	32
34	32	3
35	3	32
36	32	3
37	32	16
38	16	32
39	32	16
40	3	32
41	3	32
42	32	3
43	3	32
44	16	3
45	16	11
46	11	16
47	16	11
48	11	16
49	16	11
50	11	16
51	24	36
52	24	36
53	15	32
54	32	15
55	15	32
56	32	15
57	15	32
58	32	15
59	22	32
60	32	22
61	15	32
62	32	15
63	15	32
64	32	15
65	18	32
66	32	18
67	18	32
68	19	32
69	32	19
70	19	32
71	32	19
72	19	32
73	16	32
74	32	16
75	16	32
76	32	16
77	36	16
78	16	36
79	36	16
80	16	36
81	36	16
82	16	36
83	27	32
84	32	16
85	16	32
86	32	16
87	16	32
88	32	16
89	22	15
90	15	22
91	22	15
92	15	22
93	22	15
94	16	22
95	22	16
96	16	22
97	22	11
98	11	22
99	36	32
100	32	36
101	36	32
102	32	36
103	36	32
104	32	36
105	27	32
106	37	32
107	32	37
108	37	32
109	32	37
110	5	32
111	32	5
112	5	32
113	32	5
114	31	36
115	36	31
116	31	36
117	36	31
118	37	32
119	16	32
120	32	16
121	16	32
122	32	16
123	29	32
124	32	29
125	37	14
126	29	32
127	31	32
128	32	37
129	16	32
130	32	16
131	16	32
132	32	16
133	16	32
134	36	16
135	16	36
136	36	16
137	16	36
138	29	32
139	8	35
140	32	16
141	8	35
142	32	16
143	16	32
144	32	16
145	16	32
146	22	32
147	32	22
148	22	32
149	32	22
150	27	32
151	32	27
152	27	32
153	32	26
154	22	32
155	32	22
156	22	32
157	32	22
158	22	32
159	32	22
160	22	32
161	32	22
162	16	32
163	32	16
164	16	32
165	32	16
166	16	32
